,bbox,id,maxDate,minDate,title,timePeriodsRange,area
0,"-3.606772, 39.460299, -3.606772, 39.460299",consabura,640,-330,Consabura,"-330.0,640.0",
1,"-3.606772, 39.460299, -3.606772, 39.460299",consabrum,640,-330,Consabrum,"-330.0,640.0",
2,"-3.606772, 39.460299, -3.606772, 39.460299",kondabora,640,-330,Kondabora,"-330.0,640.0",
3,"-3.606772, 39.460299, -3.606772, 39.460299",consaburrenses,300,-30,Consaburrenses,"-30.0,300.0",
16,"-1.0, 39.0, 0.0, 40.0",edetania,300,-330,Edetania,"-330.0,300.0",
17,"-1.0, 39.0, 0.0, 40.0",edetani,300,-330,Edetani,"-330.0,300.0",
18,"-1.0, 39.0, 0.0, 40.0",sedetani,300,-330,Sedetani,"-330.0,300.0",
34,"-1.0, 38.0, 0.0, 39.0",iaspis,640,-30,Iaspis,"-30.0,640.0",
35,"-1.0, 38.0, 0.0, 39.0",aspis,640,-30,Aspis,"-30.0,640.0",
50,"-1.0, 38.0, 0.0, 39.0",ilicitanus-sinus,300,-30,Ilicitanus Sinus,"-30.0,300.0",
77,"-0.484794, 38.346018, -0.484794, 38.346018",lucentum,640,-330,Lucentum,"-330.0,640.0",
78,"-0.484794, 38.346018, -0.484794, 38.346018",akra-leuke,640,-330,Akra Leuke,"-330.0,640.0",
79,"-0.484794, 38.346018, -0.484794, 38.346018",castrum-album,640,-330,Castrum Album,"-330.0,640.0",
107,"-4.0, 38.0, -3.0, 39.0",oretana-iuga,300,-30,Oretana Iuga,"-30.0,300.0",
108,"-4.0, 38.0, -3.0, 39.0",oretania,300,-330,Oretania,"-330.0,300.0",
109,"-4.0, 38.0, -3.0, 39.0",oretani,300,-330,Oretani,"-330.0,300.0",
110,"-4.0, 38.0, -3.0, 39.0",oretanoi,300,-30,Oretanoi,"-30.0,300.0",
111,"-4.0, 38.0, -3.0, 39.0",oretum,640,-330,Oretum,"-330.0,640.0",
112,"-4.0, 38.0, -3.0, 39.0",oria,640,-330,Oria,"-330.0,640.0",
113,"-4.0, 38.0, -3.0, 39.0",horetum,640,-330,Horetum,"-330.0,640.0",
114,"-3.0, 37.0, -2.0, 38.0",Orospeda-M,300,-330,Orospeda M.,"-330.0,300.0",
128,"-1.0, 38.0, 0.0, 39.0",saetabis,300,-30,Saetabis,"-30.0,300.0",
129,"-1.0, 39.0, 0.0, 40.0",saguntum,640,-550,Saguntum,"-550.0,640.0",
130,"-1.0, 39.0, 0.0, 40.0",arse,640,-550,Arse,"-550.0,640.0",
138,"-1.0, 37.0, 0.0, 38.0",saturni,300,-30,Saturni,"-30.0,300.0",
139,"-1.0, 37.0, 0.0, 38.0",Scombraria-Pr,300,-30,Scombraria Pr.,"-30.0,300.0",
140,"-1.0, 37.0, 0.0, 38.0",scombraria,300,-330,Scombraria,"-330.0,300.0",
141,"-1.0, 37.0, 0.0, 38.0",hercules,300,-330,Hercules,"-330.0,300.0",
148,"-3.690755, 36.734589, -3.690755, 36.734589",sexi,640,-750,Sexi,"-750.0,640.0",
149,"-3.690755, 36.734589, -3.690755, 36.734589",saxetanum,640,-750,Saxetanum,"-750.0,640.0",
150,"-3.690755, 36.734589, -3.690755, 36.734589",caesarea,640,-750,Caesarea,"-750.0,640.0",
151,"-3.690755, 36.734589, -3.690755, 36.734589",firmum-iulium,640,-750,Firmum Iulium,"-750.0,640.0",
153,"-4.518296, 38.645383, -4.517906, 38.646441",sisapo,640,-330,Sisapo,"-330.0,640.0",
154,"-4.518296, 38.645383, -4.517906, 38.646441",saesapo,300,-330,Saesapo,"-330.0,300.0",
155,"-4.518296, 38.645383, -4.517906, 38.646441",sisalo,640,-330,Sisalo,"-330.0,640.0",
156,"-4.0, 37.0, -3.0, 38.0",Solorius-M,640,-330,Solorius M.,"-330.0,640.0",
157,"-1.0, 38.0, 0.0, 39.0",sorobis,300,-30,Sorobis,"-30.0,300.0",
171,"-1.0, 39.0, 0.0, 40.0",sucro,300,-330,Sucro,"-330.0,300.0",
172,"-1.0, 39.0, 0.0, 40.0",sucronensis-sinus,300,-30,Sucronensis Sinus,"-30.0,300.0",
183,"-3.966243, 37.722761, -3.966243, 37.722761",tucci,640,-330,Tucci,"-330.0,640.0",
184,"-3.966243, 37.722761, -3.966243, 37.722761",col-augusta-gemella,640,-330,Col. Augusta Gemella,"-330.0,640.0",
185,"-3.966243, 37.722761, -3.966243, 37.722761",itukke,640,-330,Itukke,"-330.0,640.0",
189,"-3.0, 37.0, -2.0, 38.0",tugiensis-saltus,300,-330,Tugiensis Saltus,"-330.0,300.0",
190,"-3.0, 36.0, -2.0, 37.0",turaniana,640,-30,Turaniana,"-30.0,640.0",
191,"-5.0, 37.0, -4.0, 38.0",turdetania,640,-330,Turdetania,"-330.0,640.0",
192,"-5.0, 37.0, -4.0, 38.0",turdetani,640,-330,Turdetani,"-330.0,640.0",
193,"-1.0, 39.0, 0.0, 40.0",turia,300,-330,Turia,"-330.0,300.0",
201,"-3.0, 36.0, -2.0, 37.0",urcitanus-sinus,300,-30,Urcitanus Sinus,"-30.0,300.0",
202,"-4.054925, 37.93645, -4.054925, 37.93645",urgao,640,-330,Urgao,"-330.0,640.0",
203,"-4.054925, 37.93645, -4.054925, 37.93645",vircao,640,-330,Vircao,"-330.0,640.0",
204,"-4.054925, 37.93645, -4.054925, 37.93645",municipium-albense-urgauonense,640,-330,Municipium Albense Urgauonense,"-330.0,640.0",
211,"-4.0, 37.0, -3.0, 38.0",viniolae,640,-30,Viniolae,"-30.0,640.0",
212,"-4.0, 37.0, -3.0, 38.0",vivatia,640,-30,Vivatia,"-30.0,640.0",
213,"-4.0, 37.0, -3.0, 38.0",viatia,640,-30,Viatia,"-30.0,640.0",
341,"-5.283333, 35.9, -5.283333, 35.9",Abila-M,640,-550,Abila M.,"-550.0,640.0",
342,"-5.283333, 35.9, -5.283333, 35.9",name.2012-09-26.2906561357,2100,1700,Monte Hacho,"1700.0,2100.0",
343,"-5.283333, 35.9, -5.283333, 35.9",abilyx,300,-550,Abilyx,"-550.0,300.0",
345,"-6.0, 35.0, -5.5, 35.5",ad-novas,640,-30,Ad Novas,"-30.0,640.0",
347,"-5.5, 35.5, -5.0, 36.0",Aquila-Maior-Pr,640,-30,Aquila Maior Pr.,"-30.0,640.0",
348,"-5.5, 35.5, -5.0, 36.0",Aquila-Minor-Pr,640,-30,Aquila Minor Pr.,"-30.0,640.0",
354,"-6.0, 34.5, -5.5, 35.0",baniurae,300,-330,Baniurae,"-330.0,300.0",
355,"-6.0, 34.5, -5.5, 35.0",banioubai,300,-330,Banioubai,"-330.0,300.0",
356,"-6.0, 34.5, -5.5, 35.0",boniuricis,300,-330,Boniuricis,"-330.0,300.0",
357,"-5.5, 33.5, -5.0, 34.0",baquates,300,-30,Baquates,"-30.0,300.0",
358,"-5.5, 33.5, -5.0, 34.0",bakouatai,300,-30,Bakouatai,"-30.0,300.0",
359,"-5.5, 33.5, -5.0, 34.0",ouakouatai,300,-30,Ouakouatai,"-30.0,300.0",
360,"-5.5, 35.5, -5.0, 36.0",Barbari-Pr,640,-30,Barbari Pr.,"-30.0,640.0",
363,"-5.93005, 35.79, -5.93005, 35.79",cottae,300,-330,Cottae,"-330.0,300.0",
364,"-5.93005, 35.79, -5.93005, 35.79",kotes,300,-330,Kotes,"-330.0,300.0",
365,"-5.93005, 35.79, -5.93005, 35.79",gytte,300,-330,Gytte,"-330.0,300.0",
370,"-5.5, 35.5, -5.0, 36.0",heras,300,-330,Heras,"-330.0,300.0",
374,"-6.11037, 35.198727, -6.11021, 35.199807",lixus,640,-750,Lixus,"-750.0,640.0",
375,"-6.11037, 35.198727, -6.11021, 35.199807",lixitai,-30,-330,Lixitai,"-330.0,-30.0",
376,"-6.11037, 35.198727, -6.11021, 35.199807",aulucus,640,300,Aulucus,"300.0,640.0",
377,"-6.11037, 35.198727, -6.11021, 35.199807",lixos,300,-30,Lixos,"-30.0,300.0",
383,"-6.0, 35.0, -5.5, 35.5",masikes,300,-330,Masikes,"-330.0,300.0",
384,"-6.0, 35.0, -5.5, 35.5",mauretania-tingitana,640,-30,Mauretania Tingitana,"-30.0,640.0",
385,"-5.5, 34.5, -5.0, 35.0",maurusii,640,-30,Maurusii,"-30.0,640.0",
386,"-5.5, 34.5, -5.0, 35.0",mauri,640,-30,Mauri,"-30.0,640.0",
387,"-5.5, 34.5, -5.0, 35.0",maurensioi,640,-30,Maurensioi,"-30.0,640.0",
409,"-5.5, 35.5, -5.0, 36.0",tamuda,640,-330,Tamuda,"-330.0,640.0",
410,"-5.5, 35.5, -5.0, 36.0",tamucus,640,-330,Tamucus,"-330.0,640.0",
418,"-6.0, 34.5, -5.5, 35.0",tremuli,640,-30,Tremuli,"-30.0,640.0",
419,"-5.5548, 34.0725, -5.5548, 34.0725",volubilis,640,-330,Volubilis,"-330.0,640.0",
420,"-5.5548, 34.0725, -5.5548, 34.0725",volubilitani,640,-330,Volubilitani,"-330.0,640.0",
421,"-5.5548, 34.0725, -5.5548, 34.0725",ouoloubilianoi,640,-330,Ouoloubilianoi,"-330.0,640.0",
422,"-6.0, 34.5, -5.5, 35.0",zegrenses,300,-30,Zegrenses,"-30.0,300.0",
425,"-5.915794, 35.514183, -5.912215, 35.522244",zilil,640,-30,Zilil,"-30.0,640.0",
426,"-5.915794, 35.514183, -5.912215, 35.522244",zilis,640,-30,Zilis,"-30.0,640.0",
427,"-5.915794, 35.514183, -5.912215, 35.522244",col-iulia-constantia-zilil,640,-30,Col. Iulia Constantia Zilil,"-30.0,640.0",
482,"-1.0, 35.0, 0.0, 36.0",eloulioi,300,-30,Eloulioi,"-30.0,300.0",
492,"-1.0, 35.0, 0.0, 36.0",massaesylii,640,-30,Massaesylii,"-30.0,640.0",
514,"-1.0, 35.0, 0.0, 36.0",sorai,300,-30,Sorai,"-30.0,300.0",
552,"60.0, 30.0, 65.0, 35.0",anauon,300,-30,Anauon,"-30.0,300.0",
555,"60.0, 30.0, 65.0, 35.0",arimaspai,300,-550,Arimaspai,"-550.0,300.0",
556,"60.0, 30.0, 65.0, 35.0",ariaspai,300,-550,Ariaspai,"-550.0,300.0",
557,"60.0, 30.0, 65.0, 35.0",euergitae,-330,-550,Euergitae,"-550.0,-330.0",
558,"35.0, 35.0, 40.0, 40.0",name.2018-01-05.0493963308,-540,-1600,Māt-Aššur,"-1600.0,-540.0",
559,"35.0, 35.0, 40.0, 40.0",name.2018-01-05.3139393902,-540,-720,Subartu,"-720.0,-540.0",
560,"35.0, 35.0, 40.0, 40.0",name.2018-01-05.5227337207,-540,-720,Subaru,"-720.0,-540.0",
562,"35.0, 35.0, 40.0, 40.0",assyria,640,-750,Assyria,"-750.0,640.0",
563,"35.0, 35.0, 40.0, 40.0",syria,640,-750,Syria,"-750.0,640.0",
568,"55.0, 25.0, 60.0, 30.0",carmania,640,-550,Carmania,"-550.0,640.0",
594,"4.0, 36.5, 4.5, 37.0",feratenses,640,-30,Feratenses,"-30.0,640.0",
595,"4.0, 36.5, 4.5, 37.0",Ferratus-M,640,-30,Ferratus M.,"-30.0,640.0",
596,"4.0, 36.5, 4.5, 37.0",Feratus-M,640,-30,Feratus M.,"-30.0,640.0",
609,"1.5, 36.0, 2.0, 36.5",machousioi,300,-30,Machousioi,"-30.0,300.0",
614,"1.5, 36.0, 2.0, 36.5",mazices,640,-30,Mazices,"-30.0,640.0",
623,"4.0, 36.5, 4.5, 37.0",quinquegentiani,640,300,Quinquegentiani,"300.0,640.0",
638,"1.5, 36.0, 2.0, 36.5",tigava-municipium,640,-330,Tigava Municipium,"-330.0,640.0",
647,"61.136446, 30.779792, 61.136446, 30.779792",zranka,-30,-550,Zranka,"-550.0,-30.0",
648,"61.136446, 30.779792, 61.136446, 30.779792",zraka,-30,-550,Zraka,"-550.0,-30.0",
650,"61.136446, 30.779792, 61.136446, 30.779792",zarin,-330,-550,Zarin,"-550.0,-330.0",
652,"60.0, 30.0, 65.0, 35.0",drangiane,300,-550,Drangiane,"-550.0,300.0",
653,"60.0, 30.0, 65.0, 35.0",zarangiane,300,-550,Zarangiane,"-550.0,300.0",
654,"60.0, 30.0, 65.0, 35.0",drangae,300,-330,Drangae,"-330.0,300.0",
655,"60.0, 30.0, 65.0, 35.0",derangae,300,-30,Derangae,"-30.0,300.0",
656,"60.0, 30.0, 65.0, 35.0",drangiani,640,300,Drangiani,"300.0,640.0",
657,"60.0, 30.0, 65.0, 35.0",sarangai,-330,-550,Sarangai,"-550.0,-330.0",
658,"60.0, 30.0, 65.0, 35.0",zarangae,640,300,Zarangae,"300.0,640.0",
659,"60.0, 30.0, 65.0, 35.0",zranka,-30,-550,Zranka,"-550.0,-30.0",
664,"55.0, 25.0, 60.0, 30.0",garm-kerman,640,300,Garm-Kerman,"300.0,640.0",
665,"60.0, 25.0, 65.0, 30.0",gedrosia,640,-550,Gedrosia,"-550.0,640.0",
666,"60.0, 25.0, 65.0, 30.0",kedrosia,640,-550,Kedrosia,"-550.0,640.0",
667,"60.0, 25.0, 65.0, 30.0",gadrosia,-30,-330,Gadrosia,"-330.0,-30.0",
668,"60.0, 25.0, 65.0, 30.0",name.2015-02-01.8346878396,300,-30,Gedrosia,"-30.0,300.0",
669,"56.22236, 27.161555, 56.22236, 27.161555",harmozeia,640,-550,Harmozeia,"-550.0,640.0",
670,"56.22236, 27.161555, 56.22236, 27.161555",armuzia,640,-550,Armuzia,"-550.0,640.0",
671,"56.22236, 27.161555, 56.22236, 27.161555",harmozon,640,-550,Harmozon,"-550.0,640.0",
672,"60.0, 25.0, 65.0, 30.0",ichthyophagoi,640,-550,Ichthyophagoi,"-550.0,640.0",
673,"50.0, 30.0, 55.0, 35.0",isatichai,300,-330,Isatichai,"-330.0,300.0",
674,"55.0, 20.0, 60.0, 25.0",kalaiou-nesoi,300,-30,Kalaiou Nesoi,"-30.0,300.0",
675,"55.0, 20.0, 60.0, 25.0",kalon-oros,300,-30,Kalon Oros,"-30.0,300.0",
677,"61.152882, 30.958753, 61.856258, 31.299242",karkuya,640,300,Karkuya,"300.0,640.0",
678,"61.152882, 30.958753, 61.856258, 31.299242",korok,300,-30,Korok,"-30.0,300.0",
679,"61.152882, 30.958753, 61.856258, 31.299242",carcoe,640,300,Carcoe,"300.0,640.0",
681,"50.0, 25.0, 55.0, 30.0",kish,640,300,Kish,"300.0,640.0",
682,"55.0, 20.0, 60.0, 25.0",korodamon-akron,300,-330,Korodamon Akron,"-330.0,300.0",
691,"60.0, 30.0, 65.0, 35.0",zarang,640,-330,Zarang,"-330.0,640.0",
695,"50.0, 25.0, 55.0, 30.0",persicus-sinus,640,-550,Persicus Sinus,"-550.0,640.0",
698,"50.0, 25.0, 55.0, 30.0",tamtu-shaplitu,-30,-750,Tamtu Shaplitu,"-750.0,-30.0",
701,"61.490615, 32.452692, 61.490615, 32.452692",phrada,300,-30,Phrada,"-30.0,300.0",
702,"61.490615, 32.452692, 61.490615, 32.452692",phra,300,-30,Phra,"-30.0,300.0",
703,"61.490615, 32.452692, 61.490615, 32.452692",prophthasia,640,-330,Prophthasía,"-330.0,640.0",
704,"61.490615, 32.452692, 61.490615, 32.452692",frakh-kar-peroz,640,300,Frakh-kar-Peroz,"300.0,640.0",
705,"61.490615, 32.452692, 61.490615, 32.452692",propasta,640,300,Propasta,"300.0,640.0",
706,"60.0, 30.0, 65.0, 35.0",phrada-1,-140,-540,Phrada,"-540.0,-140.0",
707,"60.0, 30.0, 65.0, 35.0",phra-1,640,-30,Phra,"-30.0,640.0",
708,"60.0, 30.0, 65.0, 35.0",farah,1186,632,Farah,"632.0,1186.0",
709,"60.0, 30.0, 65.0, 35.0",frah,640,300,Frāh,"300.0,640.0",
710,"60.0, 30.0, 65.0, 35.0",farah-1,2000,-1200,Farāh,"-1200.0,2000.0",
712,"60.0, 30.0, 65.0, 35.0",prophthasia-1,226,-540,Prophthasia,"-540.0,226.0",
715,"55.0, 25.0, 60.0, 30.0",sard-kerman,640,300,Sard-Kerman,"300.0,640.0",
716,"60.0, 35.0, 65.0, 40.0",sarnios,300,-330,Sarnios,"-330.0,300.0",
723,"50.0, 25.0, 55.0, 30.0",pasa,-330,-550,Pasa,"-550.0,-330.0",
724,"50.0, 25.0, 55.0, 30.0",bashiyan,-330,-550,Bashiyan,"-550.0,-330.0",
726,"50.0, 25.0, 55.0, 30.0",fasa-arb,2000,-1200,Fasā,"-1200.0,2000.0",
727,"50.0, 25.0, 55.0, 30.0",fasa-fas,2000,-1200,Fasā,"-1200.0,2000.0",
732,"55.0, 30.0, 60.0, 35.0",veh-ardashir,640,-30,Veh Ardashir,"-30.0,640.0",
733,"55.0, 30.0, 60.0, 35.0",bardasir,640,-30,Bardasir,"-30.0,640.0",
734,"55.0, 30.0, 60.0, 35.0",govasir,640,-30,Govasir,"-30.0,640.0",
735,"55.0, 30.0, 60.0, 35.0",bih-ardashir,640,-30,Bih-Ardashir,"-30.0,640.0",
736,"55.0, 30.0, 60.0, 35.0",bardasir-1,1186,632,Bardašīr,"632.0,1186.0",
737,"55.0, 30.0, 60.0, 35.0",kerman,2000,-1200,Kermān,"-1200.0,2000.0",
740,"55.0, 30.0, 60.0, 35.0",bardasir-2,940,-1200,Bardasīr,"-1200.0,940.0",
741,"55.0, 30.0, 60.0, 35.0",gwasir,640,300,Gwāšīr,"300.0,640.0",
744,"55.0, 30.0, 60.0, 35.0",veh-artahser,640,300,Vēh-Artaḫšēr,"300.0,640.0",
745,"55.0, 30.0, 60.0, 35.0",gavasir,640,300,Gavāšīr,"300.0,640.0",
746,"55.0, 30.0, 60.0, 35.0",kirman-1,1258,300,Kirmān,"300.0,1258.0",
747,"50.0, 30.0, 55.0, 35.0",yazd,640,300,Yazd,"300.0,640.0",
748,"50.0, 30.0, 55.0, 35.0",yazd-arb,2000,-1200,Yazd,"-1200.0,2000.0",
749,"50.0, 30.0, 55.0, 35.0",yazd-fas,2000,-1200,Yazd,"-1200.0,2000.0",
751,"40.0, 35.0, 45.0, 40.0",Zagrus-M,300,-330,Zagrus M.,"-330.0,300.0",
852,"5.5, 36.0, 6.0, 36.5",ad-portum,640,-30,Ad Portum,"-30.0,640.0",
856,"6.0, 36.5, 6.5, 37.0",ampsaga,640,-330,Ampsaga,"-330.0,640.0",
857,"6.0, 36.5, 6.5, 37.0",amsaga,640,-330,Amsaga,"-330.0,640.0",
859,"5.5, 36.5, 6.0, 37.0",assarath,300,-30,Assarath,"-30.0,300.0",
862,"6.5, 36.0, 7.0, 36.5",azimacia,300,-30,Azimacia,"-30.0,300.0",
865,"6.5, 36.0, 7.0, 36.5",caput-amsagae,300,-30,Caput Amsagae,"-30.0,300.0",
884,"6.0, 36.5, 6.5, 37.0",chitouai,300,-30,Chitouai,"-30.0,300.0",
894,"36.927509, 37.5812744, 36.927509, 37.5812744",gurgume,-540,-1000,Gurgume,"-1000.0,-540.0",
895,"36.927509, 37.5812744, 36.927509, 37.5812744",gurgumme,-540,-720,Gurgumme,"-720.0,-540.0",
896,"36.927509, 37.5812744, 36.927509, 37.5812744",gurgumaja,-540,-1000,Gurgumāja,"-1000.0,-540.0",
897,"36.927509, 37.5812744, 36.927509, 37.5812744",bit-paalla,-540,-720,Bīt-Pa'alla,"-720.0,-540.0",
898,"36.927509, 37.5812744, 36.927509, 37.5812744",marqasi,-540,-720,Marqasi,"-720.0,-540.0",
941,"35.1075333, 32.6633115, 35.1103978, 32.6656614",tel-yoqneaam,2100,1700,Tel Yoqne‘am,"1700.0,2100.0",
942,"35.1075333, 32.6633115, 35.1103978, 32.6656614",name.2018-03-20.1826432416,1204,1081,Caymont,"1081.0,1204.0",
943,"35.1075333, 32.6633115, 35.1103978, 32.6656614",name.2018-03-20.4867001824,2100,1700,Tell Qamun,"1700.0,2100.0",
986,"5.0, 43.5, 5.5, 44.0",ad-fines,640,-30,Ad Fines,"-30.0,640.0",
990,"5.0, 43.5, 5.5, 44.0",albici,300,-330,Albici,"-330.0,300.0",
994,"4.5, 43.5, 5.0, 44.0",anatilii,300,-330,Anatilii,"-330.0,300.0",
1005,"5.0, 43.0, 5.5, 43.5",avatici,300,-330,Avatici,"-330.0,300.0",
1012,"3.5, 43.0, 4.0, 43.5",blasco,300,-330,Blasco,"-330.0,300.0",
1020,"4.5, 43.5, 5.0, 44.0",campi-lapidei,300,-330,Campi Lapidei,"-330.0,300.0",
1022,"5.047556, 44.052059, 5.047556, 44.052059",carpentorate,640,-30,Carpentorate,"-30.0,640.0",
1023,"5.047556, 44.052059, 5.047556, 44.052059",forum-neronis,300,-30,Forum Neronis,"-30.0,300.0",
1025,"5.047556, 44.052059, 5.047556, 44.052059",carbantorate-meminorum,300,-30,Carbantorate Meminorum,"-30.0,300.0",
1030,"4.5, 43.5, 5.0, 44.0",cavares,300,-330,Cavares,"-330.0,300.0",
1031,"4.5, 43.5, 5.0, 44.0",cavares,-30,-330,Cavares,"-330.0,-30.0",
1040,"3.0, 43.0, 3.5, 43.5",col-baeterrae,640,-330,Col. Baeterrae,"-330.0,640.0",
1041,"3.0, 43.0, 3.5, 43.5",col-victrix-iulia-paterna,640,-330,Col. Victrix Iulia Paterna,"-330.0,640.0",
1045,"5.0, 43.5, 5.5, 44.0",dexivates,300,-330,Dexivates,"-330.0,300.0",
1047,"4.5, 43.5, 5.0, 44.0",druentia,640,-330,Druentia,"-330.0,640.0",
1048,"3.0, 43.0, 3.5, 43.5",elisykoi,-30,-550,Elisykoi,"-550.0,-30.0",
1062,"4.0, 43.0, 4.5, 43.5",hispaniense-ostium,300,-30,Hispaniense Ostium,"-30.0,300.0",
1070,"4.0, 43.0, 4.5, 43.5",libica-ora,300,-30,Libica Ora,"-30.0,300.0",
1072,"3.0, 43.0, 3.5, 43.5",liria,300,-30,Liria,"-30.0,300.0",
1074,"3.0, 43.0, 3.5, 43.5",longostaletes,-30,-330,Longostaletes,"-330.0,-30.0",
1075,"5.0, 43.5, 5.5, 44.0",Louerion-M,300,-330,Louerion M.,"-330.0,300.0",
1082,"5.382499, 43.296854, 5.382499, 43.296854",massalia,300,-750,Massalia,"-750.0,300.0",
1083,"5.382499, 43.296854, 5.382499, 43.296854",massilia,640,-330,Massilia,"-330.0,640.0",
1085,"5.382499, 43.296854, 5.382499, 43.296854",name.2015-09-09.9479012133,-330,-550,Massalía,"-550.0,-330.0",
1088,"4.5, 44.0, 5.0, 44.5",memini,300,-330,Memini,"-330.0,300.0",
1091,"4.0, 43.0, 4.5, 43.5",metapinum-ostium,300,-30,Metapinum Ostium,"-30.0,300.0",
1099,"3.0, 43.0, 3.5, 43.5",orobis,640,-550,Orobis,"-550.0,640.0",
1100,"3.0, 43.0, 3.5, 43.5",orbis,640,-550,Orbis,"-550.0,640.0",
1107,"4.5, 44.0, 5.0, 44.5",rhodanus,640,-550,Rhodanus,"-550.0,640.0",
1113,"4.5, 43.5, 5.0, 44.0",salluvii,-30,-330,Salluvii,"-330.0,-30.0",
1114,"5.0, 43.5, 5.5, 44.0",salyes,300,-550,Salyes,"-550.0,300.0",
1115,"5.0, 43.0, 5.5, 43.5",segobrigii,-550,-750,Segobrigii,"-750.0,-550.0",
1117,"3.5, 43.0, 4.0, 43.5",Setius-M,300,-550,Setius M.,"-550.0,300.0",
1121,"5.0, 43.0, 5.5, 43.5",stomalimne,-30,-330,Stomalimne,"-330.0,-30.0",
1122,"5.0, 43.0, 5.5, 43.5",mastramela-stagnum,300,-550,Mastramela Stagnum,"-550.0,300.0",
1124,"3.5, 43.0, 4.0, 43.5",taurus,300,-550,Taurus,"-550.0,300.0",
1125,"3.5, 43.0, 4.0, 43.5",volcarum-stagna,300,-330,Volcarum Stagna,"-330.0,300.0",
1131,"4.630799, 43.677616, 4.630799, 43.677616",theline,-30,-750,Theline,"-750.0,-30.0",
1132,"4.630799, 43.677616, 4.630799, 43.677616",col-arelate,640,-330,Col. Arelate,"-330.0,640.0",
1133,"4.630799, 43.677616, 4.630799, 43.677616",constantina,640,300,Constantina,"300.0,640.0",
1137,"5.0, 43.0, 5.5, 43.5",tricores,300,-330,Tricores,"-330.0,300.0",
1158,"5.0, 43.5, 5.5, 44.0",vulgientes,300,-330,Vulgientes,"-330.0,300.0",
1200,"7.625772, 43.789146, 7.625772, 43.789146",albium-intimilium,640,-550,Albium Intimilium,"-550.0,640.0",
1201,"7.625772, 43.789146, 7.625772, 43.789146",album-intimilium,640,-550,Album Intimilium,"-550.0,640.0",
1203,"7.625772, 43.789146, 7.625772, 43.789146",albion-intemelion,300,-30,Albion Intemelion,"-30.0,300.0",
1204,"7.625772, 43.789146, 7.625772, 43.789146",bintimilio,640,300,Bintimilio,"300.0,640.0",
1206,"7.625772, 43.789146, 7.625772, 43.789146",vintimilium,640,300,Vintimilium,"300.0,640.0",
1216,"6.0, 44.0, 6.5, 44.5",alpes-maritimae,640,-30,Alpes Maritimae,"-30.0,640.0",
1222,"6.5, 43.5, 7.0, 44.0",apron,-30,-330,Apron,"-330.0,-30.0",
1224,"6.5, 43.0, 7.0, 43.5",athenopolis,300,-330,Athenopolis,"-330.0,300.0",
1226,"6.0, 44.0, 6.5, 44.5",bodiontici,300,-330,Bodiontici,"-330.0,300.0",
1232,"6.5, 43.0, 7.0, 43.5",col-forum-iulii,640,-330,Col. Forum Iulii,"-330.0,640.0",
1234,"7.5, 43.5, 8.0, 44.0",costa-bellene,640,300,Costa Bellene,"300.0,640.0",
1235,"7.5, 43.5, 8.0, 44.0",costa-ballene,640,300,Costa Ballene,"300.0,640.0",
1236,"7.5, 43.5, 8.0, 44.0",costa-balenae,640,-30,Costa Balenae,"-30.0,640.0",
1238,"6.5, 43.5, 7.0, 44.0",deciates,300,-330,Deciates,"-330.0,300.0",
1240,"7.0, 44.0, 7.5, 44.5",ecdinii,300,-330,Ecdinii,"-330.0,300.0",
1247,"6.0, 44.0, 6.5, 44.5",gallitae,300,-330,Gallitae,"-330.0,300.0",
1251,"7.425673, 43.740339, 7.425673, 43.740339",herakles-monoikos,640,-750,Herakles Monoikos,"-750.0,640.0",
1252,"7.425673, 43.740339, 7.425673, 43.740339",portus-monoeci,640,-750,Portus Monoeci,"-750.0,640.0",
1253,"7.425673, 43.740339, 7.425673, 43.740339",monoikos,640,-750,Monoikos,"-750.0,640.0",
1255,"7.5, 43.5, 8.0, 44.0",intemelii,300,-330,Intemelii,"-330.0,300.0",
1257,"6.0, 43.5, 6.5, 44.0",ligauni,300,-330,Ligauni,"-330.0,300.0",
1263,"6.5, 43.5, 7.0, 44.0",nerusii,300,-330,Nerusii,"-330.0,300.0",
1268,"6.5, 43.0, 7.0, 43.5",oxubii,300,-330,Oxubii,"-330.0,300.0",
1269,"6.5, 43.0, 7.0, 43.5",oxybii,300,-30,Oxybii,"-30.0,300.0",
1300,"44.449851, 31.883324, 44.449851, 31.883324",al-hira,640,300,al-Hira,"300.0,640.0",
1301,"44.449851, 31.883324, 44.449851, 31.883324",hirta,640,300,Hirta,"300.0,640.0",
1302,"44.449851, 31.883324, 44.449851, 31.883324",al-hirta,640,300,al-Hirta,"300.0,640.0",
1303,"44.449851, 31.883324, 44.449851, 31.883324",hira,640,300,Hira,"300.0,640.0",
1314,"45.0, 31.0, 46.0, 32.0",archous,300,-330,Archous,"-330.0,300.0",
1315,"44.0, 32.0, 45.0, 33.0",name.2018-01-06.1298813604,-330,-1600,Karduniaš,"-1600.0,-330.0",
1316,"44.0, 32.0, 45.0, 33.0",babylonia,640,-750,Babylonia,"-750.0,640.0",
1317,"44.0, 32.0, 45.0, 33.0",babiru,640,-750,Babiru,"-750.0,640.0",
1318,"44.0, 32.0, 45.0, 33.0",name.2015-02-28.0292278046,-330,-550,Babylonia,"-550.0,-330.0",
1319,"44.0, 31.0, 45.0, 32.0",banu-lakhm,640,300,Banu Lakhm,"300.0,640.0",
